start_time,end_time,room_set
1392077376.0,1392077376.0,"6,2,4,1"
1392077377.0,1392077377.0,"6,2,4,3,1"
1392077377.0,1392077377.0,"6,2,4,1"
1392077378.0,1392077378.0,"6,2,4,3,1"
1392077378.0,1392077378.0,"6,2,4,1"
1392077379.0,1392077379.0,"6,2,4,3,1"
1392077379.0,1392077379.0,"6,2,4,1"
1392077380.0,1392077380.0,"6,2,4,3,1"
1392077380.0,1392077380.0,"6,2,4,1"
1392077381.0,1392077381.0,"6,2,4,3,1"
1392077381.0,1392077381.0,"6,2,4,1"
1392077382.0,1392077382.0,"6,2,4,3,1"
1392077382.0,1392077382.0,"6,2,4,1"
1392077383.0,1392077383.0,"6,2,4,3,1"
1392077383.0,1392077383.0,"6,2,4,1"
1392077384.0,1392077384.0,"6,2,4,3,1"
1392077384.0,1392077384.0,"6,2,4,1"
1392077385.0,1392077385.0,"6,2,4,3,1"
1392077385.0,1392077385.0,"6,2,4,1"
1392077386.0,1392077386.0,"6,2,4,3,1"
1392077386.0,1392077386.0,"6,2,4,1"
1392077387.0,1392077387.0,"6,2,4,3,1"
1392077387.0,1392077387.0,"6,2,4,1"
1392077388.0,1392077388.0,"6,2,4,3,1"
1392077388.0,1392077388.0,"6,2,4,1"
1392077389.0,1392077389.0,"6,2,4,3,1"
1392077389.0,1392077389.0,"6,2,4,1"
1392077390.0,1392077390.0,"6,2,4,3,1"
1392077390.0,1392077390.0,"6,2,4,1"
1392077391.0,1392077391.0,"6,2,4,3,1"
1392077391.0,1392077391.0,"6,2,4,1"
1392077392.0,1392077392.0,"6,2,4,3,1"
1392077392.0,1392077392.0,"6,2,4,1"
1392077393.0,1392077393.0,"6,2,4,3,1"
1392077393.0,1392077393.0,"6,2,4,1"
1392077394.0,1392077394.0,"6,2,4,3,1"
1392077394.0,1392077394.0,"6,2,4,1"
1392077395.0,1392077395.0,"6,2,4,3,1"
1392077395.0,1392077395.0,"6,2,4,1"
1392077396.0,1392077396.0,"6,2,4,3,1"
1392077396.0,1392077396.0,"6,2,4,1"
1392077397.0,1392077397.0,"6,2,4,3,1"
