start_time,end_time,room_set
1392085086.0,1392085086.0,"6,2,4,3,1"
1392085086.0,1392085086.0,"6,2,4,1"
1392085087.0,1392085087.0,"6,2,4,3,1"
1392085087.0,1392085087.0,"6,2,4,1"
1392085088.0,1392085088.0,"6,2,4,3,1"
1392085088.0,1392085088.0,"6,2,4,1"
1392085089.0,1392085089.0,"6,2,4,3,1"
1392085089.0,1392085089.0,"6,2,4,1"
1392085090.0,1392085090.0,"6,2,4,3,1"
1392085090.0,1392085090.0,"6,2,4,1"
1392085091.0,1392085091.0,"6,2,4,3,1"
1392085091.0,1392085091.0,"6,2,4,1"
1392085092.0,1392085092.0,"6,2,4,3,1"
1392085092.0,1392085092.0,"6,2,4,1"
1392085093.0,1392085093.0,"6,2,4,3,1"
1392085093.0,1392085093.0,"6,2,4,1"
1392085094.0,1392085094.0,"6,2,4,3,1"
1392085094.0,1392085094.0,"6,2,4,1"
1392085095.0,1392085095.0,"6,2,4,3,1"
1392085095.0,1392085095.0,"6,2,4,1"
1392085096.0,1392085096.0,"6,2,4,3,1"
1392085096.0,1392085096.0,"6,2,4,1"
1392085097.0,1392085097.0,"6,2,4,3,1"
1392085097.0,1392085097.0,"6,2,4,1"
1392085098.0,1392085098.0,"6,2,4,3,1"
1392085098.0,1392085098.0,"6,2,4,1"
1392085099.0,1392085099.0,"6,2,4,3,1"
1392085099.0,1392085099.0,"6,2,4,1"
1392085100.0,1392085100.0,"6,2,4,3,1"
1392085100.0,1392085100.0,"6,2,4,1"
1392085101.0,1392085101.0,"6,2,4,3,1"
1392085101.0,1392085101.0,"6,2,4,1"
1392085102.0,1392085102.0,"6,2,4,3,1"
1392085102.0,1392085102.0,"6,2,4,1"
1392085103.0,1392085103.0,"6,2,4,3,1"
1392085103.0,1392085103.0,"6,2,4,1"
1392085104.0,1392085104.0,"6,2,4,3,1"
1392085104.0,1392085104.0,"6,2,4,1"
1392085105.0,1392085105.0,"6,2,4,3,1"
1392085105.0,1392085105.0,"6,2,4,1"
1392085106.0,1392085106.0,"6,2,4,3,1"
1392085106.0,1392085106.0,"6,2,4,1"
1392085107.0,1392085107.0,"6,2,4,3,1"
1392085107.0,1392085107.0,"6,2,4,1"
1392085108.0,1392085108.0,"6,2,4,3,1"
1392085108.0,1392085108.0,"6,2,4,1"
1392085109.0,1392085109.0,"6,2,4,3,1"
1392085109.0,1392085109.0,"6,2,4,1"
1392085110.0,1392085110.0,"6,2,4,3,1"
1392085110.0,1392085110.0,"6,2,4,1"
1392085111.0,1392085111.0,"6,2,4,3,1"
1392085111.0,1392085111.0,"6,2,4,1"
1392085112.0,1392085112.0,"6,2,4,3,1"
1392085112.0,1392085112.0,"6,2,4,1"
1392085113.0,1392085113.0,"6,2,4,3,1"
